ID,Блок проверки,Что проверить,Ожидаемый результат,Статус,Комментарий
MFC-0001,GitHub Actions,Workflow Validate data files запускается вручную,Workflow стартует без ошибки запуска,NEW,
MFC-0002,GitHub Actions,Workflow Validate data files завершается успешно,Появляется артефакт baza-build-artifacts,NEW,
MFC-0003,GitHub Pages,Workflow Publish HTML preview запускается вручную,Workflow стартует без ошибки запуска,NEW,
MFC-0004,GitHub Pages,Страница Pages открывается,Открывается стартовая страница артефактов,NEW,
MFC-0005,Артефакты,index.html открывается локально,Видна стартовая страница проекта,NEW,
MFC-0006,HTML-превью,html-preview/index.html открывается,Видны карточки CSV-разделов,NEW,
MFC-0007,HTML-превью,Поиск по HTML-превью работает,Карточки фильтруются по запросу,NEW,
MFC-0008,Отчёты,manager-dashboard.md открывается,Есть краткая управленческая сводка,NEW,
MFC-0009,Отчёты,office-launch-packet.md открывается,Есть порядок запуска базы,NEW,
MFC-0010,Отчёты,go-no-go-report.md открывается,Есть итог GO или NO-GO,NEW,
MFC-0011,Отчёты,manager-action-register.md открывается,Есть список действий менеджера,NEW,
MFC-0012,Безопасность,В артефактах нет реальных телефонов и ФИО,Публичные данные безопасны,NEW,
MFC-0013,Google Таблица,Понятен порядок создания закрытой таблицы,Есть ссылки на Apps Script и инструкции,NEW,
MFC-0014,Будущая совместимость,Понятны read-only контракты будущей интеграции,Есть JSON и отчёты совместимости,NEW,
