ID,Клиент,Потребность или риск,Задача клиента,Действие риелтора,Польза для клиента,Возможное УТП,Доказательство,Практическое задание,Критичность,Статус,Комментарий
RVM-0001,Продавец,Не понимает реальную цену,Продать выгодно без потери времени,Собирает аналоги объясняет диапазон и согласует стратегию,Клиент принимает решение на основе данных а не ожиданий,UTP-0006,Аналитическая справка и план контрольных точек,Провести ценовой разговор по учебному объекту,Высокая,CHECK,
RVM-0002,Продавец,Много пустых звонков и показов,Найти готового покупателя,Квалифицирует обращения и организует показы по договоренности,Клиент меньше отвлекается и получает понятную обратную связь,UTP-0013,Результаты контактов и отчет по показам,Подготовить критерии квалификации покупателя,Средняя,CHECK,
RVM-0003,Продавец,Слабое объявление,Повысить интерес к объекту,Готовит медиаконтент описание и план продвижения,Объект понятнее представлен целевой аудитории,UTP-0007,Карточка объекта и перечень каналов,Разобрать карточку объекта и предложить пять улучшений,Высокая,CHECK,
RVM-0004,Продавец,Сложно вести торг,Защитить финансовый интерес,Собирает обратную связь и ведет аргументированные переговоры,Решение по цене принимается спокойнее и обоснованнее,UTP-0013,Зафиксированные аргументы и договоренности,Провести ролевой торг без давления,Высокая,CHECK,
RVM-0005,Продавец,Сложная встречная сделка,Продать объект и приобрести другой,Строит последовательность этапов и координирует участников,Снижается риск срыва сроков и несогласованных действий,UTP-0001; UTP-0005,План сделки и назначенные ответственные,Составить маршрут встречной сделки,Высокая,CHECK,
RVM-0006,Продавец,Боязнь юридической ошибки,Подготовить безопасную сделку,Собирает вводные и вовремя подключает юриста,Клиент понимает риски документы и следующий шаг,UTP-0001,Структурированный запрос юристу,Найти пять красных флагов учебного кейса,Высокая,CHECK,
RVM-0007,Покупатель,Слишком много вариантов,Выбрать подходящий объект,Выявляет критерии формирует подборку и помогает сравнить,Клиент видит управляемый выбор вместо хаоса,UTP-0014,Подборка и матрица обратной связи,Составить подборку по полной потребности,Высокая,CHECK,
RVM-0008,Покупатель,Риск переплаты,Понять рыночность цены,Сравнивает аналоги и ведет переговоры по фактам,Клиент получает обоснованную позицию по стоимости,UTP-0006; UTP-0014,Аналитика и протокол переговоров,Подготовить аргументы по цене учебного объекта,Высокая,CHECK,
RVM-0009,Покупатель,Юридические риски объекта,Сохранить право и деньги,Организует сбор документов и передачу юристу,Риски выявляются до необратимого решения,UTP-0001; UTP-0002,Результат юридической проверки по действующему процессу,Сформировать запрос на проверку без самостоятельного заключения,Высокая,CHECK,
RVM-0010,Покупатель,Неясны возможности ипотеки,Подобрать доступную финансовую модель,Собирает параметры и подключает ипотечного специалиста,Клиент сравнивает доступные варианты без лишних обращений,UTP-0003,Передача достаточного набора вводных,Провести первичную ипотечную квалификацию,Высокая,CHECK,
RVM-0011,Покупатель,Нет времени организовывать показы,Посмотреть релевантные варианты,Согласует маршрут время и участников,Клиент тратит время на более подходящие объекты,UTP-0014,Маршрут показов и подтвержденные встречи,Собрать маршрут трех показов,Средняя,CHECK,
RVM-0012,Покупатель,Не понимает рынок новостроек,Сравнить проекты и условия,Использует подтвержденные данные и объясняет различия,Клиент сравнивает предложения по единым критериям,UTP-0004,Подборка с источниками и датой проверки,Сравнить три учебных проекта без рекламных обещаний,Высокая,CHECK,
RVM-0013,Продавец; покупатель,Сделка в другом городе,Решить задачу без хаотичного поиска посредников,Организует передачу и коммуникацию между городами,Клиент понимает роли условия и последовательность,UTP-0008,Созданное обращение и назначенный владелец,Разобрать учебный межрегиональный маршрут,Средняя,CHECK,
RVM-0014,Продавец; покупатель,Много разрозненных участников,Согласовать процесс сделки,Координирует риелтора юриста ипотечного специалиста и другие роли,Клиент получает понятный маршрут и одну точку координации,UTP-0005,План этапов и контактов,Составить карту участников учебной сделки,Высокая,CHECK,
RVM-0015,Продавец; покупатель,Тревога и непонимание следующего шага,Сохранить контроль над процессом,Регулярно резюмирует статус риски и дальнейшее действие,Клиент понимает что происходит и что требуется от него,UTP-0005; UTP-0009,Зафиксированный следующий шаг и срок,Сделать клиентское резюме без профессионального жаргона,Высокая,CHECK,
