ID,Лист,Назначение,Источник данных,Кто использует,Кто отвечает,Права сотрудников,Обязателен для MVP,Комментарий,Статус
TAB-0001,Главная,Быстрый вход в базу и ссылки на разделы,Ручная настройка,Все,Ответственный за базу,Просмотр,Да,Технические блоки лучше защитить,DRAFT
TAB-0002,Контакты,Организации партнёры службы и роли,contacts-template.csv и data/drafts,Все,Ответственные по разделам,Просмотр или комментарии,Да,Реальные контакты только в закрытой таблице,DRAFT
TAB-0003,Ситуации,Что делать в типовых рабочих случаях,situations-real-estate.csv,СПН новички менеджер,Юрист и менеджер,Просмотр,Да,Самый важный лист для новичков,DRAFT
TAB-0004,База знаний,Документы инструкции шаблоны алгоритмы,knowledge-template.csv documents document-templates,Все,Юрист и ответственный за базу,Просмотр,Да,Связи лучше вести через ID,DRAFT
TAB-0005,FAQ,Частые вопросы и короткие ответы,faq-real-estate.csv,Все,Юрист менеджер брокер,Просмотр,Да,Ответы должны быть короткими и безопасными,DRAFT
TAB-0006,Практика,Полезные заметки сотрудников,practice-note-template.csv common-mistakes.csv,Все,Ответственный за базу,Комментарии,Да,Перед публикацией заметки проверяются,DRAFT
TAB-0007,Предложения изменений,Входящий поток правок,change-request-template.csv feedback-log-template.csv,Все,Ответственный за базу,Заполнение,Да,Структуру листа защищать,DRAFT
TAB-0008,Справочники,Статусы категории типы приоритеты,data/dictionaries,Ответственный за базу,Ответственный за базу,Нет редактирования,Да,Используется для выпадающих списков,DRAFT
TAB-0009,Синонимы,Подсказки для поиска,search-synonyms.csv,Все,Ответственный за базу,Просмотр,Нет,Помогает улучшить поиск,DRAFT
TAB-0010,Новостройки,Объекты застройщики условия проверки,new-buildings.csv,СПН менеджер,Менеджер,Просмотр,Нет,Закрытые условия хранить осторожно,DRAFT
TAB-0011,Подрядчики,Проверенные исполнители и категории,contractors.csv,СПН,Ответственный за раздел,Просмотр,Нет,Рекомендации только после проверки,DRAFT
TAB-0012,Обучение,Чек-листы и задания для новичков,training-checklists.csv,Новички наставники,Менеджер,Просмотр,Нет,Можно использовать в адаптации,DRAFT
TAB-0013,Метрики,Польза базы и результаты тестов,knowledge-base-metrics.md feedback-log-template.csv,Менеджер,Менеджер,Просмотр,Нет,Можно добавить позже,DRAFT
